Company,Valuation ($B),Date Joined,Country,City ,Industry,Investors,Valuation BI,invest_1,invest_2,invest_3,invest_4,data_1,data_2,data_3,data_4
Blockchain.com,$14,2021-02-17,United Kingdom,London,Fintech,"Lightspeed Venture Partners, Google Ventures, Lakestar",14.0,Lightspeed Venture Partners,Google Ventures,Lakestar,nan,Lightspeed Venture Partners,Google Ventures,Lakestar,
Plaid,$13.50,2018-12-11,United States,San Francisco,Fintech,"New Enterprise Associates, Spar Capital, Index Ventures",13.5,New Enterprise Associates,Spar Capital,Index Ventures,nan,New Enterprise Associates,Spar Capital,Index Ventures,
OpenSea,$13.30,2021-07-20,United States,New York,Internet software & services,"Andreessen Horowitz, Thirty Five Ventures, Sound Ventures",13.3,Andreessen Horowitz,Thirty Five Ventures,Sound Ventures,nan,Andreessen Horowitz,Thirty Five Ventures,Sound Ventures,
Celonis,$13,2018-06-26,Germany,Munich,Data management & analytics,"Accel, 83North",13.0,Accel,83North,nan,nan,Accel,83North,,
Grammarly,$13,2019-10-10,United States,San Francisco,Internet software & services,"General Catalyst, Institutional Venture Partners, Breyer Capital",13.0,General Catalyst,Institutional Venture Partners,Breyer Capital,nan,General Catalyst,Institutional Venture Partners,Breyer Capital,
Devoted Health,$12.60,2018-10-16,United States,Waltham,Health,"Andreessen Horowitz, F-Prime Capital, Venrock",12.6,Andreessen Horowitz,F-Prime Capital,Venrock,nan,Andreessen Horowitz,F-Prime Capital,Venrock,
Faire,$12.59,2019-10-30,United States,San Francisco,Artificial intelligence,"Khosla Ventures, Forerunner Ventures, Sequoia Capital",12.59,Khosla Ventures,Forerunner Ventures,Sequoia Capital,nan,Khosla Ventures,Forerunner Ventures,Sequoia Capital,
Brex,$12.30,2018-10-05,United States,San Francisco,Fintech,"DST Global, Ribbit Capital, Greenoaks Capital Management",12.3,DST Global,Ribbit Capital,Greenoaks Capital Management,nan,DST Global,Ribbit Capital,Greenoaks Capital Management,
JUUL Labs,$12,2017-12-20,United States,San Francisco,Consumer & retail,Tiger Global Management,12.0,Tiger Global Management,nan,nan,nan,Tiger Global Management,,,
Bitmain Technologies,$12,2018-07-06,China,Beijing,Hardware,"Coatue Management, Sequoia Capital China, IDG Capital",12.0,Coatue Management,Sequoia Capital China,IDG Capital,nan,Coatue Management,Sequoia Capital China,IDG Capital,
Biosplice Therapeutics,$12,2018-08-06,United States,San Diego,Health,"Vickers Venture Partners, IKEA GreenTech",12.0,Vickers Venture Partners,IKEA GreenTech,nan,nan,Vickers Venture Partners,IKEA GreenTech,,
GoodLeap,$12,2021-10-13,United States,Roseville,Internet software & services,"New Enterprise Associates, BDT Capital Partners, Davidson Kempner Capital Management",12.0,New Enterprise Associates,BDT Capital Partners,Davidson Kempner Capital Management,nan,New Enterprise Associates,BDT Capital Partners,Davidson Kempner Capital Management,
Xingsheng Selected,$12,2020-07-22,China,Changsha,E-commerce & direct-to-consumer,"KKR, Tencent Holdings, Sequoia Capital China",12.0,KKR,Tencent Holdings,Sequoia Capital China,nan,KKR,Tencent Holdings,Sequoia Capital China,
Deel,$12,2021-04-21,United States,San Francisco,Fintech,"Andreessen Horowitz, Spark Capital, Y Combinator",12.0,Andreessen Horowitz,Spark Capital,Y Combinator,nan,Andreessen Horowitz,Spark Capital,Y Combinator,
Getir,$11.80,2021-03-26,Turkey,Istanbul,"Supply chain, logistics, & delivery","Tiger Global Management, Sequoia Capital, Revo Capital",11.8,Tiger Global Management,Sequoia Capital,Revo Capital,nan,Tiger Global Management,Sequoia Capital,Revo Capital,
Airtable,$11.70,2018-11-15,United States,San Francisco,Internet software & services,"Caffeinated Capital, CRV, Founder Collective",11.7,Caffeinated Capital,CRV,Founder Collective,nan,Caffeinated Capital,CRV,Founder Collective,
ZongMu Technology,$11.40,2021-06-03,China,Shanghai,Auto & transportation,"LTW Capital, Legend Capital, Qualcomm Ventures",11.4,LTW Capital,Legend Capital,Qualcomm Ventures,nan,LTW Capital,Legend Capital,Qualcomm Ventures,
Rippling,$11.25,2020-08-04,United States,San Francisco,Internet software & services,"Initialized Capital, Y Combinator, Kleiner Perkins Caufield & Byers",11.25,Initialized Capital,Y Combinator,Kleiner Perkins Caufield & Byers,nan,Initialized Capital,Y Combinator,Kleiner Perkins Caufield & Byers,
Global Switch,$11.10,2016-12-22,United Kingdom,London,Hardware,"Aviation Industry Corporation of China, Essence Financial, Jiangsu Sha Steel Group",11.1,Aviation Industry Corporation of China,Essence Financial,Jiangsu Sha Steel Group,nan,Aviation Industry Corporation of China,Essence Ficial,Jiangsu Sha Steel Group,
Bolt,$11,2021-10-08,United States,San Francisco,Fintech,"Activant Capital, Tribe Capital, General Atlantic",11.0,Activant Capital,Tribe Capital,General Atlantic,nan,Activant Capital,Tribe Capital,General Atlantic,
Alchemy,$10.20,2021-10-28,United States,San Francisco,Fintech,"DFJ Growth Fund, Coatue Management, Addition",10.2,DFJ Growth Fund,Coatue Management,Addition,nan,DFJ Growth Fund,Coatue Management,Addition,
Weilong,$10.88,2021-05-08,China,Luohe,Consumer & retail,"Tencent Holdings, Hillhouse Capital Management, Yunfeng Capital",10.88,Tencent Holdings,Hillhouse Capital Management,Yunfeng Capital,nan,Tencent Holdings,Hillhouse Capital Management,Yunfeng Capital,
Swiggy,$10.70,2018-06-21,India,Bengaluru,"Supply chain, logistics, & delivery","Accel India, SAIF Partners, Norwest Venture Partners",10.7,Accel India,SAIF Partners,Norwest Venture Partners,nan,Accel India,SAIF Partners,Norwest Venture Partners,
Lalamove,$10,2019-02-21,Hong Kong,Cheung Sha Wan,"Supply chain, logistics, & delivery","MindWorks Ventures, Shunwei Capital Partners, Xiang He Capital",10.0,MindWorks Ventures,Shunwei Capital Partners,Xiang He Capital,nan,MindWorks Ventures,Shunwei Capital Partners,Xiang He Capital,
Figma,$10,2020-04-30,United States,San Francisco,Internet software & services,"Index Ventures, Greylock Partners, Kleiner Perkins Caufield & Byers",10.0,Index Ventures,Greylock Partners,Kleiner Perkins Caufield & Byers,nan,Index Ventures,Greylock Partners,Kleiner Perkins Caufield & Byers,
Gusto,$10,2015-12-18,United States,San Francisco,Fintech,"General Catalyst Partners, Google Ventures, Kleiner Perkins Caufield & Byers",10.0,General Catalyst Partners,Google Ventures,Kleiner Perkins Caufield & Byers,nan,General Catalyst Partners,Google Ventures,Kleiner Perkins Caufield & Byers,
Chehaoduo,$10,2016-03-12,China,Beijing,E-commerce & direct-to-consumer,"Sequoia Capital China, GX Capital",10.0,Sequoia Capital China,GX Capital,nan,nan,Sequoia Capital China,GX Capital,,
reddit,$10,2017-07-31,United States,San Francisco,Internet software & services,"Y Combinator, Sequoia Capital, Coatue Management",10.0,Y Combinator,Sequoia Capital,Coatue Management,nan,Y Combinator,Sequoia Capital,Coatue Management,
Talkdesk,$10,2018-10-03,United States,San Francisco,Internet software & services,"DJF, Salesforce Ventures, Storm Ventures",10.0,DJF,Salesforce Ventures,Storm Ventures,nan,DJF,Salesforce Ventures,Storm Ventures,
Notion Labs,$10,2020-04-01,United States,San Francisco,Internet software & services,"Index Ventures, Draft Ventures, Felicis Ventures",10.0,Index Ventures,Draft Ventures,Felicis Ventures,nan,Index Ventures,Draft Ventures,Felicis Ventures,
Thrasio,$10,2020-07-15,United States,Walpole,E-commerce & direct-to-consumer,"Upper90, RiverPark Ventures, Advent International",10.0,Upper90,RiverPark Ventures,Advent International,nan,Upper90,RiverPark Ventures,Advent International,
Digital Currency Group,$10,2021-11-01,United States,New York,Fintech,"Ribbit Capital, capitalG, Softbank Group",10.0,Ribbit Capital,capitalG,Softbank Group,nan,Ribbit Capital,capitalG,Softbank Group,
KuCoin,$10,2022-05-10,Seychelles,Victoria,Fintech,"IDG Capital, Matrix Partners China, Jump Crypto",10.0,IDG Capital,Matrix Partners China,Jump Crypto,nan,IDG Capital,Matrix Partners China,Jump Crypto,
OutSystems,$9.50,2018-06-05,United States,Boston,Internet software & services,"KKR, ES Ventures, North Bridge Growth Equity",9.5,KKR,ES Ventures,North Bridge Growth Equity,nan,KKR,ES Ventures,North Bridge Growth Equity,
ServiceTitan,$9.50,2018-11-14,United States,Glendale,Internet software & services,"Bessemer Venture Partners, ICONIQ Capital, Battery Ventures",9.5,Bessemer Venture Partners,ICONIQ Capital,Battery Ventures,nan,Bessemer Venture Partners,ICONIQ Capital,Battery Ventures,
HEYTEA,$9.28,2019-07-01,China,Shenzhen,Other,"Sequoia Capital China, Tencent Investment, BA Capital",9.28,Sequoia Capital China,Tencent Investment,BA Capital,nan,Sequoia Capital China,Tencent Investment,BA Capital,
N26,$9.23,2019-01-10,Germany,Berlin,Fintech,"Redalpine Venture Partners, Earlybird Venture Capital, Valar Ventures",9.23,Redalpine Venture Partners,Earlybird Venture Capital,Valar Ventures,nan,Redalpine Venture Partners,Earlybird Venture Capital,Valar Ventures,
Klaviyo,$9.20,2020-11-17,United States,Boston,Internet software & services,"Summit Partners, Accel, Astral Capital",9.2,Summit Partners,Accel,Astral Capital,nan,Summit Partners,Accel,Astral Capital,
Northvolt,$9.08,2019-06-12,Sweden,Stockholm,Other,"Vattenfall, Volkswagen Group, Goldman Sachs",9.08,Vattenfall,Volkswagen Group,Goldman Sachs,nan,Vattenfall,Volkswagen Group,Goldman Sachs,
Tanium,$9,2015-03-31,United States,Kirkland,Cybersecurity,"Andreessen Horowitz, Nor-Cal Invest, TPG Growth",9.0,Andreessen Horowitz,Nor-Cal Invest,TPG Growth,nan,Andreessen Horowitz,Nor-Cal Invest,TPG Growth,
Niantic,$9,2017-11-24,United States,San Francisco,Mobile & telecommunications,"Nintendo, Google, Pokemon Company International, Spark Capital",9.0,Nintendo,Google,Pokemon Company International,Spark Capital,Nintendo,Google,Pokemon Company International,Spark Capital
OYO Rooms,$9,2018-09-25,India,Gurugram,Travel,"SoftBank Group, Sequoia Capital India,Lightspeed India Partners",9.0,SoftBank Group,Sequoia Capital India,Lightspeed India Partners,nan,SoftBank Group,Sequoia Capital India,Lightspeed India Partners,
Rapyd,$8.75,2019-12-03,United Kingdom,London,Fintech,"Target Global, General Catalyst, Durable Capital Partners",8.75,Target Global,General Catalyst,Durable Capital Partners,nan,Target Global,General Catalyst,Durable Capital Partners,
Kavak,$8.70,2020-10-01,Mexico,Lerma de Villada,E-commerce & direct-to-consumer,"DST Global, SoftBank Group, Mountain Nazca",8.7,DST Global,SoftBank Group,Mountain Nazca,nan,DST Global,SoftBank Group,Mountain Nazca,
Snyk,$8.60,2020-01-21,United States,Boston,Cybersecurity,"BOLDstart Ventures, Google Ventures, Accel",8.6,BOLDstart Ventures,Google Ventures,Accel,nan,BOLDstart Ventures,Google Ventures,Accel,
Nuro,$8.60,2019-02-11,United States,Mountain View,Auto & transportation,"SoftBank Group, Greylock Partners, Gaorong Capital",8.6,SoftBank Group,Greylock Partners,Gaorong Capital,nan,SoftBank Group,Greylock Partners,Gaorong Capital,
Chainalysis,$8.60,2020-11-23,United States,New York,Fintech,"Addition, Benhcmark, Accel",8.6,Addition,Benhcmark,Accel,nan,Addition,Benhcmark,Accel,
Pony.ai,$8.50,2018-07-11,United States,Fremont,Artificial intelligence,"Sequoia Capital China, IDG Capital, DCM Ventures",8.5,Sequoia Capital China,IDG Capital,DCM Ventures,nan,Sequoia Capital China,IDG Capital,DCM Ventures,
Personio,$8.50,2021-01-19,Germany,Munich,Internet software & services,"Global Founders Capital, Nortzone Ventures, Picus Capital",8.5,Global Founders Capital,Nortzone Ventures,Picus Capital,nan,Global Founders Capital,Nortzone Ventures,Picus Capital,
SumUp,$8.50,2019-07-16,United Kingdom,London,Fintech,"American Express Ventures, Goldman Sachs, Bain Capital Credit",8.5,American Express Ventures,Goldman Sachs,Bain Capital Credit,nan,American Express Ventures,Goldman Sachs,Bain Capital Credit,
Bolt,$8.40,2018-05-29,Estonia,Tallinn,Auto & transportation,"Didi Chuxing, Diamler, TMT Investments",8.4,Didi Chuxing,Diamler,TMT Investments,nan,Didi Chuxing,Diamler,TMT Investments,
Lacework,$8.30,2021-01-07,United States,San Jose,Cybersecurity,"Sutter Hill Ventures, Liberty Global Ventures, Coatue Management",8.3,Sutter Hill Ventures,Liberty Global Ventures,Coatue Management,nan,Sutter Hill Ventures,Liberty Global Ventures,Coatue Management,
Tipalti,$8.30,2020-10-06,United States,San Mateo,Fintech,"01 Advisors, Zeev Ventures, Group 11",8.3,01 Advisors,Zeev Ventures,Group 11,nan,01 Advisors,Zeev Ventures,Group 11,
Tempus,$8.10,2018-03-21,United States,Chicago,Health,"New Enterprise Associates, T. Rowe Associates, Lightbank",8.1,New Enterprise Associates,T. Rowe Associates,Lightbank,nan,New Enterprise Associates,T. Rowe Associates,Lightbank,
Ramp,$8.10,2021-03-29,United States,New York,Fintech,"D1 Capital Partners, Stripe, Coatue Management",8.1,D1 Capital Partners,Stripe,Coatue Management,nan,D1 Capital Partners,Stripe,Coatue Management,
Dream11,$8,2019-04-09,India,Mumbai,Internet software & services,"Kaalari Capital, Tencent Holdings, Steadview Capital",8.0,Kaalari Capital,Tencent Holdings,Steadview Capital,nan,Kaalari Capital,Tencent Holdings,Steadview Capital,
Fireblocks,$8,2021-07-27,United States,New York,Fintech,"Tenaya Capital, Coatue Management, Stripes Group",8.0,Tenaya Capital,Coatue Management,Stripes Group,nan,Tenaya Capital,Coatue Management,Stripes Group,
Flexport,$8,2018-04-30,United States,San Francisco,"Supply chain, logistics, & delivery","Bloomberg Beta, Founders Fund, First Round Capital",8.0,Bloomberg Beta,Founders Fund,First Round Capital,nan,Bloomberg Beta,Founders Fund,First Round Capital,
FalconX,$8,2021-08-10,United States,San Mateo,Fintech,"Tiger Global Management, American Express Ventures, B Capital Group",8.0,Tiger Global Management,American Express Ventures,B Capital Group,nan,Tiger Global Management,American Express Ventures,B Capital Group,
Caris Life Sciences,$7.83,2021-05-12,United States,Irving,Health,"Sixth Street Partners, OrbiMed Advisors, Highland Capital Management",7.83,Sixth Street Partners,OrbiMed Advisors,Highland Capital Management,nan,Sixth Street Partners,OrbiMed Advisors,Highland Capital Management,
Dapper Labs,$7.60,2021-03-30,Canada,Vancouver,Internet software & services,"Union Square Ventures, Venrock, Andreessen Horowitz",7.6,Union Square Ventures,Venrock,Andreessen Horowitz,nan,Union Square Ventures,Venrock,Andreessen Horowitz,
Hopin,$7.75,2020-11-10,United Kingdom,London,Internet software & services,"Accel, Northzone Ventures, Institutional Venture Partners",7.75,Accel,Northzone Ventures,Institutional Venture Partners,nan,Accel,Northzone Ventures,Institutional Venture Partners,
Netskope,$7.50,2018-11-13,United States,Santa Clara,Cybersecurity,"Lightspeed Venture Partners, Social Capital, Accel",7.5,Lightspeed Venture Partners,Social Capital,Accel,nan,Lightspeed Venture Partners,Social Capital,Accel,
Razorpay,$7.50,2020-10-11,India,Bengaluru,Fintech,"Sequoia Capital India, Tiger Global Management, Matrix Partners India",7.5,Sequoia Capital India,Tiger Global Management,Matrix Partners India,nan,Sequoia Capital India,Tiger Global Management,Matrix Partners India,
Automattic,$7.50,2013-05-27,United States,San Francisco,Internet software & services,"Insight Venture Partners, Lowercase Capital, Polaris Partners",7.5,Insight Venture Partners,Lowercase Capital,Polaris Partners,nan,Insight Venture Partners,Lowercase Capital,Polaris Partners,
Carta,$7.40,2019-05-06,United States,San Francisco,Fintech,"Menlo Ventures, Spark Capital, Union Square Ventures",7.4,Menlo Ventures,Spark Capital,Union Square Ventures,nan,Menlo Ventures,Spark Capital,Union Square Ventures,
Scale AI,$7.30,2019-08-05,United States,San Francisco,Artificial intelligence,"Accel, Y Combinator, Index Ventures",7.3,Accel,Y Combinator,Index Ventures,nan,Accel,Y Combinator,Index Ventures,
Argo AI,$7.25,2019-07-12,United States,Pittsburgh,Auto & transportation,"Volkswagen Group, Ford Autonomous Vehicles",7.25,Volkswagen Group,Ford Autonomous Vehicles,nan,nan,Volkswagen Group,Ford Autonomous Vehicles,,
Gong,$7.25,2020-08-12,United States,Palo Alto,Artificial intelligence,"Norwest Venture Partners, Next World Capital, Wing Venture Capital",7.25,Norwest Venture Partners,Next World Capital,Wing Venture Capital,nan,Norwest Venture Partners,Next World Capital,Wing Venture Capital,
TripActions,$7.25,2018-11-08,United States,Palo Alto,Travel,"Andreessen Horowitz, Lightspeed Venture Partners, Zeev Ventures",7.25,Andreessen Horowitz,Lightspeed Venture Partners,Zeev Ventures,nan,Andreessen Horowitz,Lightspeed Venture Partners,Zeev Ventures,
Gemini,$7.10,2021-11-19,United States,New York,Fintech,"Morgan Creek Digital, Marcy Venture Partners, 10T Fund",7.1,Morgan Creek Digital,Marcy Venture Partners,10T Fund,nan,Morgan Creek Digital,Marcy Venture Partners,10T Fund,
We Doctor,$7,2015-09-22,China,Hangzhou,Health,"Tencent, Morningside Group",7.0,Tencent,Morningside Group,nan,nan,Tencent,Morningside Group,,
Ro,$7,2020-07-27,United States,New York,Health,"Initialized Capital, General Catalyst, SignalFire",7.0,Initialized Capital,General Catalyst,SignalFire,nan,Initialized Capital,General Catalyst,SignalFire,
ConsenSys,$7,2021-11-17,United States,New York,Fintech,"Third Point, Electric Capital, Coinbase Ventures",7.0,Third Point,Electric Capital,Coinbase Ventures,nan,Third Point,Electric Capital,Coinbase Ventures,
Automation Anywhere,$6.80,2018-07-02,United States,San Jose,Artificial intelligence,"General Atlantic, Goldman Sachs, New Enterprise Associates",6.8,General Atlantic,Goldman Sachs,New Enterprise Associates,nan,General Atlantic,Goldman Sachs,New Enterprise Associates,
1Password,$6.80,2021-07-08,Canada,Toronto,Cybersecurity,"Slack Fund, Accel, Skip Capital",6.8,Slack Fund,Accel,Skip Capital,nan,Slack Fund,Accel,Skip Capital,
Klarna,$6.70,2011-12-12,Sweden,Stockholm,Fintech,"Institutional Venture Partners, Sequoia Capital, General Atlantic",6.7,Institutional Venture Partners,Sequoia Capital,General Atlantic,nan,Institutional Venture Partners,Sequoia Capital,General Atlantic,
Ziroom,$6.60,2018-01-17,China,Beijing,E-commerce & direct-to-consumer,"Sequoia Capital China, Warburg Pincus, General Catalyst",6.6,Sequoia Capital China,Warburg Pincus,General Catalyst,nan,Sequoia Capital China,Warburg Pincus,General Catalyst,
SVOLT,$6.51,2020-06-08,China,Changzhou,Auto & transportation,"IDG Capital, Bank Of China Group Investment,, SDIC CMC Investment Management",6.51,IDG Capital,Bank Of China Group Investment,,SDIC CMC Investment Management,IDG Capital,Bank Of China Group Investment,,SDIC CMC Investment Management
National Stock Exchange of India,$6.50,2020-07-01,India,Mumbai,Fintech,"TA Associates, SoftBank Group, GS Growth",6.5,TA Associates,SoftBank Group,GS Growth,nan,TA Associates,SoftBank Group,GS Growth,
Mollie,$6.50,2020-09-08,Netherlands,Amsterdam,Fintech,Technology Crossover Ventures,6.5,Technology Crossover Ventures,nan,nan,nan,Technology Crossover Ventures,,,
Ola Cabs,$7.50,2014-10-27,India,Bengaluru,Auto & transportation,"Accel Partners, SoftBank Group, Sequoia Capital",7.5,Accel Partners,SoftBank Group,Sequoia Capital,nan,Accel Partners,SoftBank Group,Sequoia Capital,
Doctolib,$6.40,2019-03-19,France,Paris,Health,"BPI France, Kerala Ventures, Accel",6.4,BPI France,Kerala Ventures,Accel,nan,BPI France,Kerala Ventures,Accel,
DataRobot,$6.30,2019-07-29,United States,Boston,Artificial intelligence,"New Enterprise Associates, Accomplice, IA Ventures",6.3,New Enterprise Associates,Accomplice,IA Ventures,nan,New Enterprise Associates,Accomplice,IA Ventures,
Upgrade,$6.28,2018-02-12,United States,San Francisco,Fintech,"Union Square Ventures, Ribbit Capital, VY Capital",6.28,Union Square Ventures,Ribbit Capital,VY Capital,nan,Union Square Ventures,Ribbit Capital,VY Capital,
Hinge Health,$6.20,2021-01-06,United States,San Francisco,Health,"Atomico, Insight Partners, Coatue Management",6.2,Atomico,Insight Partners,Coatue Management,nan,Atomico,Insight Partners,Coatue Management,
Black Unicorn Factory,$6.10,2021-05-20,United States,Los Angeles,Other,Barter Ventures,6.1,Barter Ventures,nan,nan,nan,Barter Ventures,,,
Benchling,$6.10,2021-04-14,United States,San Francisco,Internet software & services,"Thrive Capital, Benchmark, MenloVentures",6.1,Thrive Capital,Benchmark,MenloVentures,nan,Thrive Capital,Benchmark,MenloVentures,
Royole Corporation,$6,2015-08-18,China,Shenzhen,Hardware,"Warmsun Holding, IDG Capital Partners",6.0,Warmsun Holding,IDG Capital Partners,nan,nan,Warmsun Holding,IDG Capital Partners,,
Better.com,$6,2020-11-10,United States,New York,Fintech,"Pine Brook, American Express Ventures, Kleiner Perkins Caufield & Byers",6.0,Pine Brook,American Express Ventures,Kleiner Perkins Caufield & Byers,nan,Pine Brook,American Express Ventures,Kleiner Perkins Caufield & Byers,
Wiz,$6,2021-03-17,Israel,Tel Aviv,Cybersecurity,"Insight Partners, Sequoia Capital, Index Ventures",6.0,Insight Partners,Sequoia Capital,Index Ventures,nan,Insight Partners,Sequoia Capital,Index Ventures,
iCapital Network,$6,2021-07-27,United States,New York,Fintech,"BlackRock, Blackstone, UBS",6.0,BlackRock,Blackstone,UBS,nan,BlackRock,Blackstone,UBS,
6Sense,$5.20,2021-03-30,United States,San Francisco,Artificial intelligence,"Venrock, Battery Ventures, Insight Partners",5.2,Venrock,Battery Ventures,Insight Partners,nan,Venrock,Battery Ventures,Insight Partners,
Attentive,$5.99,2020-09-23,United States,Hoboken,Mobile & telecommunications,"NextView Ventures, Eniac Ventures, Sequoia Capital",5.99,NextView Ventures,Eniac Ventures,Sequoia Capital,nan,NextView Ventures,Eniac Ventures,Sequoia Capital,
Easyhome,$5.78,2018-02-12,China,Beijing,Consumer & retail,"Alibaba Group, Boyu Capital, Borui Capital",5.78,Alibaba Group,Boyu Capital,Borui Capital,nan,Alibaba Group,Boyu Capital,Borui Capital,
Lianjia,$5.77,2016-04-07,China,Beijing,E-commerce & direct-to-consumer,"Tencent, Baidu, Huasheng Capital",5.77,Tencent,Baidu,Huasheng Capital,nan,Tencent,Baidu,Huasheng Capital,
Vice Media,$5.70,2011-04-02,United States,Brooklyn,Internet software & services,"Technology Crossover Ventures, A&E Television Networks",5.7,Technology Crossover Ventures,A&E Television Networks,nan,nan,Technology Crossover Ventures,A&E Television Networks,,
